,BQ_score,BQ_score_percentile,V_score,V_score_percentile,BQ_RoC_score_percentile,BQ_growth_score_percentile,BQ_profitability_score_percentile,BQ_asset_intensity_score_percentile,BQ_capital_structure_score_percentile,BQ_reinvestment_score_percentile,BQ_shareholder_score_percentile
BWXT,248.1,0.898,-24.182,0.411,0.966,0.885,0.756,0.675,0.281,0.044,0.891
HLI,144.9,0.659,-17.544,0.421,0.807,0.498,0.392,0.947,0.549,0.438,0.225
MTN,52.3,0.406,31.917,0.489,0.906,0.234,0.463,0.413,0.071,0.438,0.22
YMM,252.6,0.904,10.017,0.458,0.376,0.979,0.614,0.291,0.606,0.901,0.953
VNO-PM,51.5,0.404,75.978,0.553,0.627,0.265,0.842,0.339,0.249,0.438,0.185
PEN,260.2,0.914,-83.55,0.329,0.688,0.982,0.865,0.077,0.608,0.982,0.259
ROKU,11.9,0.307,-165.329,0.186,0.031,0.746,0.096,0.928,0.65,0.807,0.229
TIMB,31.8,0.354,308.023,0.864,0.287,0.415,0.241,0.638,0.269,0.438,0.638
MUSA,295.0,0.949,276.125,0.826,0.945,0.841,0.576,0.994,0.055,0.438,0.979
SN,88.7,0.499,-101.131,0.303,0.449,0.346,0.57,0.776,0.482,0.953,0.162
JLL,119.0,0.583,124.453,0.625,0.43,0.535,0.458,0.869,0.298,0.438,0.358
ASND,-56.1,0.175,-291.05,0.013,0.013,0.467,0.349,0.097,0.026,0.807,0.93
PSO,161.8,0.706,226.922,0.763,0.688,0.209,0.889,0.534,0.934,0.438,0.974
ASCCY,268.2,0.924,537.277,0.993,0.877,0.94,0.789,0.387,0.576,0.438,0.4
CIADY,131.3,0.618,542.031,0.995,0.611,0.494,0.689,0.693,0.257,0.438,0.394
PSN,220.1,0.85,-13.857,0.425,0.653,0.911,0.69,0.8,0.47,0.438,0.279
AGESY,4.8,0.29,211.552,0.742,0.62,0.043,0.57,0.602,0.026,0.438,0.94
PPC,136.1,0.633,83.415,0.564,0.307,0.721,0.382,0.947,0.295,0.438,0.373
EBCOY,139.6,0.644,74.475,0.551,0.669,0.608,0.757,0.31,0.375,0.438,0.382
SKHHY,85.0,0.49,358.682,0.915,0.612,0.395,0.161,0.897,0.924,0.438,0.267
DFKCY,196.3,0.797,477.283,0.98,0.616,0.648,0.729,0.781,0.939,0.438,0.422
KBR,-27.1,0.225,-188.84,0.138,0.103,0.211,0.391,0.846,0.095,0.438,0.262
FRT-PC,166.7,0.719,61.234,0.531,0.704,0.601,0.983,0.625,0.353,0.438,0.157
GPS,171.6,0.732,239.249,0.78,0.898,0.452,0.786,0.812,0.179,0.438,0.256
ARMK,253.7,0.906,265.23,0.813,0.891,0.897,0.679,0.829,0.177,0.438,0.9
FUTU,175.0,0.742,101.783,0.592,0.486,0.41,0.987,0.573,0.178,0.858,0.638
TX,134.0,0.627,295.944,0.85,0.478,0.905,0.323,0.532,0.667,0.438,0.233
LNW,109.3,0.555,-31.037,0.402,0.812,0.404,0.401,0.327,0.026,0.981,0.938
KPCPY,125.6,0.601,494.794,0.985,0.648,0.719,0.62,0.203,0.126,0.438,0.929
FRT,58.4,0.421,-7.088,0.435,0.484,0.605,0.516,0.628,0.37,0.438,0.144
COIHY,237.8,0.882,21.554,0.474,0.91,0.736,0.932,0.109,0.941,0.438,0.384
LSXMA,116.1,0.574,407.736,0.949,0.454,0.621,0.539,0.374,0.281,0.438,0.927
LSXMK,116.1,0.574,407.736,0.949,0.454,0.621,0.539,0.374,0.281,0.438,0.927
GLOB,234.9,0.877,-87.686,0.323,0.633,0.97,0.631,0.759,0.796,0.438,0.211
EGP,195.9,0.795,-69.545,0.349,0.616,0.981,0.975,0.384,0.86,0.438,0.002
JAPSY,95.6,0.516,574.609,0.997,0.465,0.465,0.63,0.52,0.209,0.438,0.638
PAC,328.5,0.971,65.474,0.538,0.994,0.713,0.987,0.567,0.205,0.438,0.869
AMKR,167.5,0.721,188.591,0.71,0.649,0.612,0.32,0.796,0.894,0.864,0.921
WCC,220.1,0.85,344.574,0.902,0.794,0.868,0.584,0.736,0.287,0.438,0.927
BIRK,88.8,0.5,42.001,0.503,0.436,0.935,0.295,0.025,0.798,0.438,0.287
MKSI,-118.0,0.097,-205.199,0.111,0.107,0.262,0.1,0.052,0.241,0.982,0.238
KNX,78.5,0.472,31.023,0.487,0.414,0.524,0.164,0.801,0.679,0.438,0.358
PNW,92.8,0.51,99.595,0.589,0.628,0.609,0.823,0.201,0.09,0.438,0.24
GNRC,166.7,0.719,27.093,0.482,0.626,0.567,0.47,0.306,0.658,0.916,0.99
AYAAF,118.4,0.581,116.347,0.613,0.561,0.645,0.947,0.079,0.29,0.438,0.251
CACI,227.6,0.864,156.925,0.667,0.739,0.659,0.704,0.8,0.738,0.438,0.978
AMH-PH,106.8,0.548,159.294,0.671,0.495,0.559,0.928,0.557,0.589,0.438,0.145
SWN,246.1,0.895,385.405,0.935,0.909,0.833,0.429,0.916,0.535,0.438,0.372
CHRW,88.1,0.498,188.208,0.71,0.885,0.125,0.441,0.991,0.086,0.438,0.212
COHR,6.3,0.294,-114.091,0.283,0.215,0.983,0.074,0.328,0.581,0.997,0.002
LGFRY,63.0,0.432,564.495,0.996,0.707,0.59,0.693,0.108,0.126,0.438,0.21
ORI,-6.4,0.265,317.832,0.875,0.641,0.289,0.472,0.038,0.084,0.438,0.388
SOFI,62.6,0.431,-198.977,0.122,0.263,0.941,0.317,0.334,0.077,0.438,0.189
SAPIF,201.4,0.809,145.769,0.653,0.735,0.742,0.703,0.686,0.77,0.438,0.346
TKO,34.7,0.362,-77.799,0.338,0.197,0.919,0.124,0.539,0.239,0.438,0.202
MKTX,302.1,0.955,-9.693,0.431,0.921,0.768,0.951,0.853,0.794,0.438,0.324
EHC,261.0,0.915,143.609,0.649,0.973,0.843,0.804,0.557,0.087,0.438,0.924
ASXFY,-45.2,0.193,-57.864,0.365,0.591,0.264,0.442,0.112,0.071,0.438,0.169
APPF,255.9,0.909,-73.978,0.343,0.584,0.939,0.765,0.881,0.682,0.828,0.257
GNTX,336.5,0.975,117.15,0.614,0.912,0.835,0.937,0.583,0.397,0.966,0.989
OSK,65.3,0.439,266.867,0.815,0.287,0.556,0.309,0.803,0.269,0.438,0.306
SKM,-25.7,0.228,406.822,0.948,0.463,0.159,0.422,0.403,0.278,0.089,0.201
TMTNF,234.9,0.877,31.522,0.488,0.821,0.631,0.872,0.595,0.883,0.438,0.927
HESM,14.7,0.313,,,0.287,0.487,0.883,0.673,0.269,0.438,0.002
PILBF,515.6,1.0,362.152,0.918,0.997,0.955,0.999,0.959,0.988,0.438,0.919
JDSPY,75.7,0.465,81.031,0.56,0.189,0.628,0.474,0.662,0.206,0.438,0.326
KGC,188.5,0.778,238.698,0.779,0.772,0.614,0.935,0.219,0.641,0.438,0.876
MONDY,73.3,0.459,79.705,0.558,0.287,0.572,0.241,0.855,0.269,0.438,0.638
EDR,167.1,0.72,133.566,0.636,0.704,0.934,0.513,0.391,0.165,0.438,0.302
NOV,259.0,0.913,256.447,0.802,0.86,0.887,0.864,0.211,0.85,0.438,0.92
ETSY,151.2,0.676,217.802,0.75,0.207,0.58,0.8,0.793,0.226,0.852,0.937
AYI,207.4,0.823,128.817,0.63,0.857,0.435,0.746,0.535,0.905,0.438,0.962
WBS,181.5,0.759,309.393,0.866,0.672,0.947,0.837,0.026,0.126,0.438,0.969
WSC,162.7,0.709,187.523,0.709,0.981,0.195,0.966,0.346,0.081,0.438,0.287
STVN,260.8,0.915,-194.073,0.13,0.783,0.895,0.772,0.4,0.644,0.882,0.939
SHTDY,137.9,0.639,561.917,0.996,0.61,0.508,0.6,0.904,0.16,0.438,0.638
LEVI,121.0,0.588,4.199,0.451,0.783,0.701,0.372,0.769,0.3,0.438,0.216
RGLD,221.5,0.853,35.921,0.494,0.62,0.593,0.991,0.476,0.482,0.438,0.879
FHN,86.2,0.492,332.384,0.891,0.674,0.593,0.665,0.461,0.126,0.438,0.204
JCYGY,111.8,0.562,443.467,0.967,0.554,0.55,0.737,0.529,0.086,0.438,0.638
YARIY,268.3,0.924,430.722,0.961,0.916,0.812,0.916,0.606,0.396,0.438,0.638
SITE,223.9,0.858,-26.524,0.408,0.778,0.899,0.46,0.792,0.842,0.438,0.338
PARA,-27.4,0.224,-135.361,0.251,0.247,0.475,0.112,0.573,0.526,0.438,0.194
SSD,319.6,0.966,129.697,0.631,0.924,0.913,0.857,0.316,0.688,0.912,0.936
PARAA,-27.4,0.224,-135.311,0.251,0.247,0.475,0.112,0.573,0.526,0.438,0.194
ATDRY,286.4,0.942,-27.508,0.406,0.975,0.876,0.444,0.712,0.465,0.438,0.979
MIDD,195.5,0.794,191.37,0.714,0.779,0.834,0.814,0.147,0.628,0.438,0.882
LYFT,43.0,0.382,-306.771,0.008,0.207,0.682,0.505,0.717,0.026,0.923,0.147
TAL,70.5,0.452,-194.838,0.128,0.488,0.069,0.317,0.963,0.806,0.438,0.973
DBX,50.7,0.401,282.553,0.833,0.036,0.254,0.635,0.801,0.226,0.807,0.96
CHRD,197.0,0.798,389.666,0.938,0.869,0.882,0.166,0.659,0.917,0.438,0.898
HAS,-206.5,0.034,-164.815,0.187,0.103,0.008,0.107,0.531,0.084,0.958,0.195
BWA,138.6,0.641,327.295,0.886,0.548,0.257,0.526,0.828,0.338,0.438,0.999
TRYIY,150.0,0.673,238.999,0.779,0.519,0.738,0.561,0.389,0.728,0.438,0.408
GGB,156.9,0.692,571.551,0.997,0.834,0.45,0.446,0.546,0.977,0.438,0.894
PRI,186.4,0.772,261.645,0.809,0.976,0.561,0.651,0.091,0.126,0.438,0.994
CR,82.4,0.482,-14.447,0.425,0.84,0.074,0.626,0.498,0.767,0.438,0.887
OHI,28.1,0.345,89.073,0.573,0.519,0.408,0.769,0.569,0.297,0.438,0.01
IVBXF,-56.3,0.175,-198.794,0.122,0.402,0.463,0.091,0.129,0.739,0.807,0.183
CHWY,135.5,0.631,24.679,0.479,0.357,0.807,0.515,0.914,0.126,0.438,0.259
DLB,195.2,0.794,-30.39,0.403,0.662,0.483,0.91,0.803,0.488,0.834,0.355
UEPEP,131.1,0.618,140.885,0.646,0.609,0.561,0.853,0.234,0.31,0.438,0.341
SF,83.2,0.484,201.635,0.728,0.652,0.464,0.426,0.45,0.026,0.438,0.968
UEPEO,131.1,0.618,141.06,0.646,0.609,0.561,0.853,0.234,0.31,0.438,0.341
COKE,340.3,0.977,165.969,0.68,0.911,0.945,0.698,0.971,0.289,0.438,0.949
CERE,-35.3,0.209,-216.125,0.09,0.033,0.863,0.241,0.271,0.561,0.438,0.071
LEA,227.6,0.864,345.984,0.904,0.767,0.69,0.642,0.934,0.241,0.438,0.994
DSGX,252.2,0.904,-112.513,0.285,0.663,0.817,0.944,0.743,0.453,0.877,0.386
CROX,374.2,0.988,363.024,0.918,0.945,0.946,0.96,0.888,0.196,0.438,0.988
RHI,226.5,0.862,166.084,0.68,0.894,0.361,0.391,0.991,0.853,0.438,0.972
OLED,196.2,0.796,-134.37,0.252,0.819,0.647,0.935,0.037,0.712,0.831,0.956
DNTUY,115.9,0.574,138.109,0.642,0.427,0.564,0.482,0.623,0.187,0.438,0.964
RBC,272.5,0.928,-1.868,0.443,0.686,0.976,0.944,0.131,0.534,0.438,0.926
NCLH,159.9,0.701,-79.407,0.335,0.882,0.688,0.686,0.582,0.026,0.438,0.291
VKTX,-44.7,0.194,-216.125,0.09,0.147,0.672,0.241,0.271,0.46,0.438,0.071
CIVI,-8.6,0.261,359.578,0.916,0.447,0.788,0.172,0.473,0.552,0.438,0.004
WXXWY,192.4,0.787,439.489,0.965,0.618,0.656,0.795,0.212,0.665,0.922,0.923
MKTAY,38.1,0.37,111.81,0.606,0.328,0.688,0.166,0.099,0.665,0.438,0.419
MMYT,104.5,0.541,25.545,0.48,0.339,0.587,0.706,0.313,0.798,0.438,0.247
CYTK,-115.9,0.099,-328.55,0.003,0.882,0.105,0.015,0.689,0.226,0.438,0.211
MSA,67.0,0.443,-82.328,0.33,0.241,0.737,0.471,0.142,0.554,0.9,0.176
TOITF,342.6,0.978,-52.458,0.375,0.979,0.998,0.789,0.693,0.075,0.438,0.287
SLLDY,76.9,0.468,444.223,0.967,0.758,0.179,0.541,0.814,0.126,0.438,0.895
NNN,221.9,0.854,168.945,0.684,0.665,0.495,0.994,0.917,0.491,0.438,0.188
IEP,-78.1,0.143,,,0.287,0.243,0.443,0.6,0.269,0.438,0.002
LMGIF,112.0,0.562,-258.612,0.037,0.597,0.298,0.511,0.905,0.514,0.438,0.287
XPEV,24.3,0.334,-110.701,0.288,0.039,0.849,0.074,0.859,0.656,0.839,0.266
RNR-PF,115.2,0.572,522.929,0.99,0.901,0.928,0.601,0.095,0.153,0.438,0.135
MZDAY,198.7,0.803,538.627,0.994,0.713,0.823,0.648,0.603,0.633,0.438,0.411
AIT,345.3,0.979,182.578,0.702,0.969,0.941,0.794,0.713,0.815,0.438,0.926
EVR,115.2,0.572,63.892,0.535,0.826,0.311,0.329,0.573,0.583,0.438,0.949
ZLNDY,23.8,0.333,109.391,0.603,0.188,0.328,0.391,0.755,0.169,0.438,0.38
OPHLY,275.5,0.931,538.378,0.994,0.833,0.897,0.97,0.364,0.423,0.833,0.409
SKBSY,201.0,0.808,350.173,0.907,0.843,0.837,0.613,0.439,0.346,0.438,0.892
ATH-PA,266.0,0.921,451.572,0.97,0.986,0.864,0.654,0.652,0.026,0.438,0.927
WIX,9.9,0.302,50.774,0.516,0.027,0.347,0.735,0.734,0.126,0.807,0.258
FCN,207.8,0.824,32.194,0.489,0.815,0.867,0.773,0.57,0.89,0.438,0.191
TMXXF,82.1,0.481,197.081,0.722,0.491,0.641,0.55,0.178,0.126,0.438,0.883
MASI,118.3,0.581,-115.004,0.282,0.51,0.59,0.454,0.209,0.372,0.987,0.313
LAD,288.8,0.944,292.464,0.846,0.865,0.982,0.518,0.902,0.209,0.438,0.88
WF,92.7,0.51,338.209,0.896,0.605,0.651,0.701,0.047,0.126,0.438,0.935
ELAN,-162.0,0.061,-223.44,0.076,0.04,0.126,0.118,0.019,0.41,0.976,0.198
CAVA,137.5,0.638,-120.556,0.273,0.86,0.392,0.762,0.887,0.026,0.438,0.243
W,153.1,0.681,-238.254,0.06,0.895,0.658,0.66,0.966,0.126,0.438,0.141
PHYS,81.2,0.48,139.138,0.643,0.731,0.296,0.648,0.377,0.309,0.438,0.29
CCCS,30.6,0.352,-232.922,0.066,0.167,0.432,0.153,0.31,0.92,0.836,0.932
BCUCY,209.3,0.828,-76.301,0.34,0.843,0.866,0.865,0.305,0.212,0.438,0.638
MHK,-12.7,0.253,-35.435,0.396,0.186,0.24,0.327,0.175,0.633,0.438,0.355
INGR,244.3,0.893,361.896,0.917,0.885,0.689,0.818,0.499,0.653,0.438,0.954
AAON,432.6,0.997,-122.633,0.267,0.974,1.0,0.945,0.487,0.891,0.438,0.865
SPXCY,336.3,0.975,201.553,0.728,0.986,0.709,0.995,0.53,0.358,0.438,0.424
KIM-PM,232.3,0.873,326.197,0.885,0.719,0.786,0.985,0.694,0.559,0.438,0.199
VOYA-PB,59.2,0.423,323.027,0.881,0.897,0.596,0.481,0.08,0.026,0.438,0.194
UFPI,253.0,0.905,250.041,0.794,0.852,0.655,0.683,0.881,0.912,0.438,0.934
BRBR,62.0,0.43,82.618,0.563,0.034,0.248,0.874,0.678,0.226,0.438,0.972
SUM,183.5,0.764,92.705,0.579,0.759,0.768,0.825,0.439,0.688,0.438,0.245
MUR,125.0,0.6,344.612,0.902,0.585,0.512,0.323,0.324,0.836,0.438,0.997
ALSN,286.0,0.941,316.18,0.874,0.919,0.782,0.928,0.536,0.126,0.966,0.942
AS,211.1,0.832,-160.967,0.196,0.945,0.924,0.598,0.144,0.126,0.438,0.638
LBRDA,111.3,0.56,199.299,0.725,0.462,0.415,0.665,0.126,0.639,0.438,0.979
LBRDK,111.3,0.56,199.458,0.725,0.462,0.415,0.665,0.126,0.639,0.438,0.979
VNOM,16.0,0.316,-26.665,0.408,0.828,0.48,0.937,0.309,0.069,0.438,0.0
XISHY,48.3,0.395,376.324,0.929,0.469,0.632,0.139,0.303,0.704,0.438,0.39
PAAS,126.2,0.603,-200.961,0.118,0.492,0.965,0.741,0.416,0.81,0.438,0.002
NE,233.7,0.876,187.514,0.709,0.73,0.88,0.931,0.58,0.831,0.438,0.233
ORKLY,173.6,0.738,616.524,0.999,0.744,0.776,0.757,0.198,0.564,0.438,0.392
FTAI,173.1,0.736,-45.164,0.384,0.914,0.688,0.874,0.381,0.026,0.438,0.254
PBF,299.9,0.953,397.228,0.943,0.919,0.872,0.471,0.992,0.532,0.438,0.898
KIM-PL,232.3,0.873,329.42,0.888,0.719,0.786,0.985,0.694,0.559,0.438,0.199
TMICY,154.9,0.686,-23.207,0.412,0.698,0.749,0.312,0.777,0.512,0.438,0.898
GMED,54.4,0.411,-53.431,0.374,0.427,0.986,0.138,0.036,0.483,0.981,0.071
DAR,231.0,0.87,289.964,0.843,0.836,0.921,0.604,0.509,0.338,0.438,0.892
MTSI,54.8,0.412,-153.004,0.212,0.301,0.718,0.292,0.095,0.908,0.83,0.262
CHX,282.6,0.938,159.482,0.671,0.879,0.609,0.886,0.763,0.825,0.438,0.996
FMC,251.2,0.902,277.554,0.828,0.987,0.512,0.82,0.077,0.319,0.974,0.945
FR,116.0,0.574,73.143,0.549,0.65,0.741,0.798,0.155,0.496,0.044,0.273
PCVX,-27.2,0.225,-204.598,0.112,0.106,0.865,0.241,0.271,0.376,0.438,0.071
INSP,260.6,0.915,-242.769,0.054,0.416,0.965,0.662,0.934,0.694,0.843,0.245
PPRQF,220.8,0.852,324.5,0.883,0.869,0.446,0.992,0.573,0.18,0.438,0.343
SNCAF,205.5,0.819,-16.93,0.421,0.797,0.744,0.765,0.737,0.263,0.438,0.894
VOYA,59.2,0.423,329.509,0.888,0.897,0.596,0.481,0.08,0.026,0.438,0.194
MTZ,147.3,0.666,-37.627,0.393,0.261,0.884,0.499,0.89,0.155,0.438,0.304
AXTA,174.1,0.739,160.096,0.672,0.876,0.805,0.784,0.434,0.182,0.044,0.888
AZEK,151.7,0.677,-19.953,0.417,0.547,0.513,0.673,0.294,0.709,0.438,0.987
LKNCY,165.1,0.715,-123.992,0.265,0.376,0.921,0.533,0.824,0.448,0.845,0.167
MNSO,343.8,0.979,31.292,0.488,0.903,0.846,0.938,0.891,0.981,0.438,0.945
NYT,304.4,0.957,49.516,0.515,0.813,0.727,0.841,0.807,0.978,0.995,0.932
S,51.8,0.404,-270.261,0.029,0.143,0.721,0.349,0.731,0.69,0.807,0.163
FSV,175.9,0.744,-20.097,0.417,0.673,0.875,0.585,0.763,0.166,0.438,0.314
ALTR,188.0,0.777,-232.311,0.066,0.41,0.925,0.67,0.661,0.502,0.807,0.227
FLR,129.3,0.612,-18.801,0.419,0.564,0.84,0.573,0.938,0.207,0.438,0.146
CFR,171.9,0.733,212.935,0.743,0.859,0.738,0.518,0.731,0.026,0.438,0.905
ACHC,63.1,0.433,-217.778,0.086,0.169,0.691,0.291,0.799,0.585,0.438,0.227
CGNX,24.5,0.335,-135.157,0.251,0.576,0.239,0.162,0.122,0.888,0.855,0.916
EXEL,171.5,0.731,-23.265,0.412,0.659,0.672,0.648,0.606,0.52,0.807,0.638
STAG,130.9,0.617,54.696,0.521,0.588,0.64,0.967,0.324,0.588,0.438,0.152
IVZ,-93.5,0.122,42.165,0.504,0.27,0.219,0.074,0.155,0.824,0.438,0.271
JAZZ,232.5,0.873,254.081,0.799,0.723,0.813,0.838,0.662,0.263,0.831,0.963
HQY,183.8,0.765,-23.136,0.412,0.484,0.818,0.852,0.244,0.967,0.832,0.255
OMRNY,230.2,0.869,33.036,0.49,0.686,0.793,0.77,0.368,0.658,0.951,0.927
RDDT,246.0,0.895,-214.92,0.095,0.879,0.948,0.418,0.885,0.126,0.807,0.638
IBP,344.0,0.979,93.965,0.58,0.97,0.966,0.808,0.811,0.276,0.438,0.915
ENSG,235.5,0.878,30.997,0.487,0.835,0.959,0.475,0.778,0.26,0.438,0.3
PUMSY,109.6,0.556,128.915,0.63,0.645,0.722,0.611,0.395,0.285,0.044,0.379
NXT,166.9,0.72,-36.963,0.394,0.333,0.929,0.72,0.864,0.226,0.044,0.282
CACC,62.3,0.431,142.046,0.648,0.833,0.404,0.123,0.652,0.079,0.438,0.981
COLD,-80.2,0.14,-237.966,0.06,0.146,0.256,0.17,0.679,0.432,0.438,0.141
KIGRY,-13.4,0.252,187.967,0.71,0.196,0.513,0.189,0.334,0.308,0.044,0.409
CMS-PB,88.4,0.498,252.217,0.797,0.602,0.378,0.886,0.321,0.242,0.438,0.241
CMA,79.6,0.475,361.693,0.917,0.79,0.606,0.412,0.373,0.026,0.438,0.309
EGIEY,272.7,0.928,308.995,0.866,0.991,0.497,0.971,0.593,0.179,0.438,0.638
WTS,270.1,0.926,70.376,0.545,0.875,0.788,0.858,0.488,0.997,0.438,0.933
RHP,242.4,0.89,156.728,0.667,0.945,0.97,0.929,0.669,0.126,0.438,0.138
AM,105.5,0.544,137.35,0.641,0.827,0.381,0.962,0.131,0.304,0.438,0.173
APLS,17.9,0.32,-287.725,0.015,0.207,0.818,0.349,0.494,0.189,0.807,0.148
ARW,118.9,0.583,464.367,0.976,0.784,0.37,0.519,0.875,0.091,0.438,0.638
CBSH,168.8,0.725,200.32,0.726,0.864,0.619,0.604,0.553,0.026,0.438,0.964
DDS,265.6,0.921,320.262,0.878,0.929,0.616,0.596,0.935,0.772,0.438,0.917
WFG,-0.5,0.278,-128.587,0.259,0.492,0.375,0.079,0.512,0.855,0.438,0.381
TNET,133.9,0.626,183.821,0.704,0.997,0.072,0.722,0.933,0.026,0.044,0.638
SRTTY,393.4,0.993,438.336,0.964,0.982,0.964,0.944,0.831,0.709,0.438,0.409
MAKSY,109.6,0.556,282.319,0.833,0.622,0.387,0.582,0.751,0.275,0.438,0.345
OGE,75.5,0.465,148.542,0.656,0.644,0.267,0.829,0.243,0.363,0.438,0.24
CIEN,205.7,0.819,174.36,0.691,0.717,0.781,0.769,0.135,0.547,0.852,0.983
TSRYY,41.9,0.379,47.957,0.513,0.585,0.329,0.665,0.085,0.616,0.438,0.214
ITCI,99.3,0.527,-283.666,0.018,0.228,0.573,0.349,0.946,0.45,0.807,0.254
GMVHY,54.0,0.41,-75.886,0.34,0.23,0.435,0.457,0.523,0.303,0.438,0.336
BOMBF,-6.0,0.266,325.828,0.884,0.034,0.169,0.846,0.378,0.226,0.926,0.228
LNNGY,159.7,0.701,457.609,0.973,0.528,0.617,0.561,0.765,0.931,0.438,0.296
UI,83.8,0.486,146.585,0.654,0.207,0.13,0.898,0.686,0.126,0.976,0.899
MONOY,357.0,0.983,535.81,0.993,0.966,0.972,0.673,0.838,0.971,0.438,0.416
BERY,143.1,0.653,376.83,0.929,0.892,0.321,0.684,0.52,0.163,0.438,0.931
RMBS,314.1,0.963,15.769,0.466,0.923,0.908,0.964,0.375,0.812,0.807,0.357
ESAB,149.4,0.671,86.232,0.568,0.785,0.485,0.763,0.423,0.3,0.438,0.9
OLN,64.2,0.435,311.623,0.869,0.859,0.167,0.3,0.778,0.168,0.438,0.929
XRAY,44.4,0.386,-132.088,0.255,0.485,0.101,0.57,0.302,0.454,0.926,0.319
SFM,264.2,0.919,94.541,0.581,0.934,0.65,0.622,0.913,0.336,0.438,0.959
GTLS,197.9,0.801,-2.666,0.442,0.43,0.936,0.71,0.751,0.274,0.438,0.269
BILL,122.5,0.593,-183.149,0.149,0.334,0.902,0.349,0.547,0.368,0.807,0.25
ATI,307.5,0.959,103.717,0.595,0.973,0.959,0.818,0.332,0.2,0.438,0.938
FN,294.9,0.949,82.522,0.562,0.874,0.902,0.799,0.681,0.927,0.438,0.917
AGNC,-145.6,0.074,-77.341,0.338,0.685,0.109,0.385,0.431,0.026,0.438,0.0
SLG-PI,-236.7,0.022,-195.605,0.127,0.096,0.071,0.035,0.485,0.292,0.438,0.192
BRX,98.8,0.525,167.768,0.683,0.641,0.456,0.827,0.427,0.33,0.438,0.196
HRB,170.8,0.73,336.061,0.894,0.997,0.075,0.878,0.776,0.026,0.438,0.91
QABSY,-4.0,0.271,430.597,0.961,0.013,0.18,0.852,0.591,0.226,0.438,0.638
ATKR,256.3,0.909,352.867,0.909,0.945,0.849,0.506,0.713,0.787,0.438,0.638
AN,159.8,0.701,436.901,0.963,0.932,0.337,0.518,0.92,0.062,0.438,0.638
GOFPY,366.6,0.986,192.328,0.716,0.997,0.905,0.994,0.487,0.414,0.438,0.219
LBTYK,-123.0,0.093,-51.801,0.376,0.123,0.109,0.105,0.151,0.483,0.438,0.638
VNT,269.9,0.926,227.157,0.763,0.945,0.788,0.805,0.499,0.151,0.942,0.947
LSTR,245.9,0.895,108.925,0.602,0.902,0.384,0.553,0.995,0.814,0.438,0.913
LBTYA,-123.0,0.093,-51.738,0.376,0.123,0.109,0.105,0.151,0.483,0.438,0.638
KT,29.0,0.348,300.232,0.855,0.287,0.397,0.241,0.638,0.269,0.438,0.638
CMC,308.2,0.96,413.625,0.952,0.846,0.942,0.537,0.802,0.911,0.438,0.986
SAIC,269.9,0.926,225.444,0.761,0.972,0.449,0.73,0.89,0.291,0.438,0.997
HLNE,186.0,0.771,-163.167,0.19,0.903,0.989,0.511,0.201,0.281,0.438,0.141
AHEXY,111.1,0.56,223.367,0.758,0.324,0.485,0.465,0.965,0.171,0.438,0.375
BMRRY,145.4,0.66,230.947,0.768,0.967,0.383,0.536,0.577,0.066,0.438,0.39
ATGFF,108.5,0.553,225.813,0.761,0.585,0.743,0.567,0.389,0.187,0.438,0.253
MAT,185.7,0.77,181.28,0.701,0.632,0.689,0.466,0.875,0.309,0.438,0.972
WAL,113.3,0.566,124.127,0.624,0.784,0.801,0.33,0.422,0.026,0.438,0.908
BFAM,138.0,0.639,-39.157,0.391,0.573,0.805,0.56,0.602,0.162,0.438,0.325
AA,-199.3,0.038,-219.882,0.08,0.094,0.088,0.107,0.533,0.197,0.044,0.185
SPSC,287.3,0.943,-119.029,0.275,0.693,0.953,0.773,0.65,0.803,1.0,0.247
RLI,53.9,0.41,142.885,0.648,0.853,0.628,0.176,0.081,0.202,0.438,0.331
ICL,-48.1,0.188,396.121,0.942,0.572,0.394,0.102,0.208,0.756,0.044,0.252
MEGEF,170.8,0.73,370.164,0.924,0.557,0.717,0.308,0.752,0.977,0.438,0.965
ENLC,44.7,0.386,,,0.287,0.109,0.699,0.906,0.269,0.438,0.262
CAE,185.5,0.77,40.756,0.502,0.507,0.731,0.738,0.51,0.585,0.887,0.349
STWD,-68.4,0.156,145.537,0.652,0.369,0.239,0.328,0.371,0.126,0.438,0.153
ALSMY,135.5,0.631,-145.41,0.226,0.374,0.911,0.639,0.194,0.153,0.89,0.245
BECN,235.2,0.878,33.894,0.492,0.899,0.775,0.741,0.697,0.3,0.438,0.898
KVYO,-25.2,0.229,-107.332,0.293,0.945,0.299,0.015,0.883,0.226,0.807,0.219
TYCMY,50.1,0.4,545.923,0.995,0.644,0.195,0.476,0.773,0.095,0.438,0.392
ELEEF,151.9,0.678,105.952,0.598,0.74,0.864,0.575,0.149,0.085,0.438,0.942
BYD,277.8,0.934,356.312,0.913,0.974,0.847,0.79,0.489,0.204,0.438,0.962
PNFP,118.7,0.582,237.726,0.778,0.648,0.712,0.78,0.115,0.026,0.438,0.929
SIGI,154.6,0.685,230.325,0.767,0.824,0.843,0.516,0.225,0.083,0.438,0.911
FLS,156.2,0.69,81.355,0.561,0.645,0.736,0.667,0.665,0.289,0.438,0.278
QLYS,402.6,0.995,-68.686,0.35,0.994,0.853,0.971,0.861,0.375,0.836,0.945
RRR,185.3,0.769,-43.286,0.386,0.945,0.439,0.775,0.806,0.126,0.438,0.309
